user_id,patient_id,session_count,avg_session_time,dropped_out
1,2048,1,25,0
2,262,23,23,0
3,2315,48,42,0
4,930,13,27,0
5,2660,41,42,0
6,2920,24,33,1
7,779,18,30,0
8,2625,47,18,1
9,1399,21,28,1
10,1720,15,16,0
11,2872,49,56,0
12,872,36,12,0
13,2998,19,45,1
14,665,42,29,0
15,2808,12,48,0
16,2562,32,29,0
17,804,5,24,0
18,1324,42,25,0
19,1441,6,6,1
20,1793,8,59,0
21,696,49,7,1
22,874,46,49,0
23,2254,32,50,1
24,1913,2,28,1
25,1899,40,44,1
26,2776,35,21,0
27,1754,47,6,0
28,1756,20,46,1
29,2084,5,13,0
30,2258,36,11,0
31,2448,7,11,0
32,2441,26,1,0
33,2752,21,35,0
34,2706,37,53,1
35,257,18,27,1
36,816,12,40,1
37,2427,19,55,0
38,2423,39,46,0
39,2845,44,33,0
40,1002,21,32,0
41,2699,25,13,0
42,1080,39,1,0
43,970,29,39,0
44,2249,5,29,1
45,619,35,24,0
46,601,30,13,0
47,1712,30,53,0
48,29,17,10,0
49,1400,38,22,1
50,1469,22,50,0
51,1357,36,24,1
52,2113,7,23,0
53,862,47,18,0
54,453,9,11,0
55,2809,1,22,0
56,2398,14,11,0
57,789,7,15,1
58,788,27,32,0
59,771,22,24,0
60,1610,11,11,0
61,2640,17,44,0
62,2211,3,44,0
63,1116,28,27,0
64,1178,29,21,0
65,796,35,32,0
66,111,38,16,0
67,2414,24,32,0
68,1466,15,5,0
69,2296,6,9,1
70,542,6,54,1
71,2586,32,12,1
72,49,11,23,0
73,1077,19,16,0
74,430,25,7,0
75,2320,29,17,0
76,2091,43,34,0
77,983,43,21,0
78,1374,20,25,0
79,1489,25,54,0
80,2551,36,18,0
81,2075,18,56,0
82,548,44,51,0
83,1968,10,24,0
84,2252,42,59,0
85,2727,5,52,0
86,2813,20,50,0
87,593,34,28,0
88,762,16,43,0
89,2481,29,20,1
90,44,48,27,1
91,2387,35,33,0
92,1293,30,58,0
93,1087,16,41,0
94,1656,15,23,0
95,175,49,31,0
96,2216,31,26,0
97,645,43,11,0
98,2913,40,1,0
99,355,31,11,0
100,1302,32,40,0
101,977,32,35,0
102,1083,34,44,0
103,358,11,20,0
104,977,36,7,0
105,223,49,31,0
106,1309,26,52,0
107,2625,30,52,1
108,2149,24,9,0
109,151,41,11,0
110,178,49,22,1
111,2135,20,46,0
112,205,2,56,0
113,2133,31,33,1
114,2013,35,42,0
115,1325,32,4,0
116,618,30,50,0
117,673,9,1,0
118,2541,23,27,0
119,605,5,56,0
120,1506,36,31,0
121,2709,26,56,0
122,2702,15,41,0
123,81,35,31,0
124,723,34,33,0
125,2824,15,19,1
126,2732,7,29,0
127,2034,44,12,0
128,2961,38,47,0
129,2681,36,18,1
130,12,20,27,0
131,1257,20,52,0
132,1795,49,6,0
133,2252,3,40,1
134,906,49,4,0
135,142,11,52,0
136,634,11,47,0
137,2553,32,36,0
138,1970,29,4,1
139,139,49,36,0
140,962,25,21,0
141,2564,5,47,0
142,1433,35,6,0
143,432,26,33,0
144,277,21,18,0
145,2973,1,21,0
146,561,41,13,0
147,2343,17,13,0
148,863,41,8,0
149,156,3,35,1
150,635,27,42,0
151,1735,26,43,0
152,118,40,13,0
153,1346,16,34,0
154,2648,29,4,1
155,1749,21,41,0
156,2092,4,14,0
157,1958,21,11,1
158,1360,38,2,0
159,2786,41,16,0
160,833,29,56,0
161,83,35,20,0
162,266,15,45,0
163,1004,43,4,0
164,1048,4,32,0
165,908,25,56,1
166,1368,49,58,0
167,902,43,49,0
168,2397,20,41,0
169,2922,15,53,0
170,236,24,12,1
171,1893,13,16,0
172,925,10,41,0
173,2542,42,56,0
174,1606,11,13,0
175,2912,49,21,0
176,1130,28,7,0
177,1757,15,16,0
178,2884,20,20,1
179,280,44,32,1
180,1166,34,5,0
181,2506,13,54,0
182,1009,48,38,0
183,2339,39,58,0
184,835,14,21,0
185,2572,1,2,0
186,2383,12,33,0
187,2211,22,54,1
188,1322,14,49,0
189,2843,31,17,0
190,2359,43,18,0
191,2808,37,48,1
192,2956,32,17,0
193,2424,37,37,0
194,26,27,1,1
195,2323,4,30,0
196,863,9,35,0
197,2068,7,54,1
198,792,20,6,0
199,1153,13,11,0
200,269,17,19,1
201,1657,38,51,0
202,2549,27,59,1
203,1874,22,55,0
204,665,16,15,1
205,2120,37,8,0
206,323,12,36,1
207,603,47,38,0
208,2984,15,58,0
209,531,35,28,0
210,2122,4,49,0
211,2620,19,49,0
212,293,8,1,0
213,1420,9,12,0
214,1702,30,53,0
215,974,26,22,0
216,2725,21,27,0
217,2669,47,2,0
218,2047,46,40,0
219,585,4,48,0
220,817,23,19,0
221,2967,35,51,0
222,99,6,3,0
223,2397,16,45,1
224,476,13,10,0
225,1675,20,25,0
226,2447,6,41,1
227,2255,10,9,0
228,826,44,26,0
229,1433,35,53,0
230,2882,45,36,1
231,1615,17,25,0
232,1148,4,58,0
233,1663,2,40,0
234,45,30,13,0
235,2165,16,17,1
236,2362,11,1,0
237,2567,16,7,0
238,2293,35,9,0
239,1827,35,32,1
240,762,28,34,1
241,730,47,36,0
242,702,3,48,1
243,2168,12,34,0
244,578,40,29,0
245,426,35,11,0
246,1802,19,13,1
247,1425,24,42,0
248,1795,34,27,1
249,1490,10,49,1
250,597,23,49,0
251,1728,28,25,0
252,619,47,16,0
253,2553,30,25,0
254,1121,43,44,0
255,143,29,47,0
256,1725,18,57,0
257,2728,26,38,0
258,2284,9,53,1
259,2217,10,22,0
260,834,3,9,0
261,2958,25,9,0
262,1828,47,59,0
263,2134,13,52,1
264,2428,22,22,0
265,1532,47,12,0
266,1460,14,8,0
267,312,46,43,0
268,2627,4,20,0
269,1373,47,36,0
270,2616,1,59,1
271,2732,13,43,0
272,1378,32,12,0
273,2109,24,19,1
274,1395,49,2,0
275,721,40,19,0
276,1202,32,55,0
277,860,22,13,1
278,1210,49,58,1
279,89,37,9,0
280,1454,20,39,0
281,1418,12,4,0
282,1853,19,1,0
283,45,29,47,0
284,1599,14,45,0
285,2983,3,33,0
286,77,15,42,0
287,2785,47,22,1
288,1469,5,45,0
289,1169,45,18,0
290,2102,19,20,0
291,1875,3,28,0
292,2568,16,58,1
293,913,14,7,0
294,1000,14,35,0
295,245,23,7,0
296,151,6,46,1
297,2818,40,16,0
298,1979,11,54,0
299,304,16,24,0
300,1941,41,23,0
301,1479,42,15,0
302,230,7,40,0
303,923,10,23,0
304,932,17,1,0
305,1176,1,34,0
306,2675,27,40,0
307,1444,17,45,1
308,1591,35,20,1
309,1591,12,32,0
310,670,16,54,0
311,2751,21,49,0
312,2715,32,10,1
313,1449,28,28,0
314,1959,42,24,0
315,1947,32,53,0
316,2390,26,5,0
317,850,43,4,0
318,315,1,16,0
319,2957,14,14,0
320,2661,18,24,0
321,1726,1,18,0
